index,rr_interval_ms,source,sampling_rate_hz,heart_rate_bpm,random_seed
0,836.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
1,888.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
2,844.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
3,750.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
4,718.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
5,772.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
6,864.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
7,896.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
8,838.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
9,808.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
10,856.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
11,922.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
12,888.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
13,788.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
14,760.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
15,804.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
16,862.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
17,840.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
18,774.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
19,772.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
20,832.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
21,888.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
22,866.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
23,816.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
24,826.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
25,874.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
26,886.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
27,836.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
28,796.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
29,804.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
30,822.000,neurokit2.ecg_simulate+ecg_process,500,72,7101
